,title,company,location,salary,requirements
65,newSenior Data Scientist,Biogen,"Cambridge, MA+2 locations",,"Strong mastery of data analytics, modeling and telling a story with data.Building interactive and complex data visualizations and analysis tools (e.g.,…"
66,Marketing Data Analyst (Freelance),Campaign Stars,+1 locationRemote,,Proven ability to extract information from data sets and identify correlations and patterns (bonus points for using data to create predictive trends).
67,Communicable Disease Assistant,Placer County,"Auburn, CA",$21.52 - $26.88 an hour,"Prior to the date of hire, applicants must undergo a fingerprint test by the Department of Justice, pass a medical examination (which may include a drug…"
68,newResearcher,Nike,"Beaverton, OR",,"Experience using in-lab and field-based biomechanical data collection tools with human test participants.You will participate in the development of new tools,…"
69,Facebook University - Analytics - Data Engineering,Facebook App,"Menlo Park, CA+114 locations",,"Demonstrated interest in data and technology.Facebook University for Data Analytics (FBU Analytics) is a paid, summer internship program that consists of…"
70,newData Scientist,Audible,"Newark, NJ+2 locations",,"Passion for data (and fearlessness in the face of a data tsunami), modeling, research design and cutting-edges algorithms."
71,newPeople Operations Associate,PeopleOps Jobs,Remote,"$30,603 - $104,406 a year","This includes, but is not limited to, data entry, HR setup, organizing equipment delivery, calendar scheduling, and setting up new accounts."
72,Data Entry Assistant,ALDI,"Hybrid remote in Batavia, IL+2 locations",$17.50 an hour,Proficient in typing and data entry.Maintains confidentiality and privacy of employee and company sensitive data.Proficient in Microsoft Office Suite.
73,Machine Learning Data Scientist,SIS,"Sunnyvale, CA",,"Type: W2 Inc Description: Location Sunnyvale , CA Min Experience (yrs): Required Education: Not Specified Benefits…"
74,newCybersecurity Apprentice,IBM,"Research Triangle Park, NC 27709+13 locations",,"Monitor and audit client systems to ensure the protection of those systems, information resources, and data within.Assess and detect network vulnerabilities."
75,newSenior Data Scientist,Biogen,"Cambridge, MA",,"Strong mastery of data analytics, modeling and telling a story with data.Building interactive and complex data visualizations and analysis tools (e.g.,…"
76,newData Analyst,Stanford University,"Redwood City, CA+3 locations",,Participate in the implementation of data standards and common data elements for data collection.].Identify new sources of data and methods to improve data…
77,newClient Data Specialist,Louis Vuitton,"New York, NY",,"Execution and interpretation of a wide range of client data across multiple data sources (IBM Cognos, Salesforce, Google Analytics, etc.)."
78,newData Entry Clerk,RWJBarnabas Health,"Toms River, NJ 08755+1 location",,"At Community, our employees make the difference, which is why we offer a comprehensive benefit package that includes health, dental, vision, disability…"
79,newData Engineer - Remote 100%,University of Illinois,"Remote in Urbana, IL+1 location",,Experience with data visualization tools.This position will help uncover information available in vast amounts of varied data to help the university make…
80,Global Intelligence Analyst,Dolby,"San Francisco, CA",,"A passion for data analysis.Experience in working with extracting actionable information from search engines, data bases and general online research."
81,newReference Test Clerk (Data Entry/Customer Service),Labcorp,"Bethesda, MD 20889+1 location",,Basic computer and data entry skills.This position will be responsible for preparing and sending specimens and test requests to LabCorp and/or contracted…
82,newData Center Technician,Google,"Pryor, OK 74361+16 locations",,"Experience working within a data center or network operation center environment.Experience with light coding, scripting and data query, analysis and…"
83,PowerSchool Data Manager,Public Schools Of Robeson County,"Lumberton, NC 28358",,PowerSchool Data Manager (12 months) SALARY: (GRADE 56 - $2315.75Monthly Starting Salary…
84,Data Entry / Order Processing,Xtreme Diesel Performance (XDP),New Jersey,,"Maintains data entry requirements by following data program techniques and procedures.Verifies entered customer and account data by reviewing, correcting,…"
85,Data Science Rotation Program - Operations Academy,Apple,"Cupertino, CA+58 locations",,Familiarity with data visualization tools (Tableau preferred).Rotation Opportunities: Data Science: Develop advanced analytics solutions such as predictive…
86,Student Information Data Manager,Wake County Schools,"Cary, NC 27518",,"New Elementary School, Opening August 2022."
87,newStaff Business Data Analysis,Intuit,"San Diego, CA 92129 (Torrey Highlands area)+2 locations",,"Proficient in accessing data from various sources (such as relational databases, distributed data sources and third party data capture tools)."
88,Data Engineer - Associate,Paramount,"Hollywood, CA 90028+2 locations",,Develop data pipelines and data models from specifications.This will also include supporting our client’s data initiatives and helping ensure efficient data…
89,"newProgram Manager, Data",Google,"Sunnyvale, CA (Lakewood area)+34 locations",,"Experience with building data infrastructure (e.g., designing architecture, building data pipelines, implementing scalable monitoring) and implementing…"
90,newData Visualization Specialist,McKinsey & Company,"Waltham, MA 02451",,Familiarity with data engineering and/or core data science practices.You and a data visualization developer will also closely collaborate with clients and…
91,Student Information Data Manager,Wake County Schools,"Cary, NC 27518",,"New Elementary School, Opening August 2022."
92,newData Entry Specialist - 2nd shift,Iron Mountain,"Atlanta, GA 30309 (Midtown area)+12 locations",,"Accurately data capture from source data image; data verification is also required.Ability to input large volumes of data into the system via data keying,…"
93,newData Scientist,Disney Media & Entertainment Distribution,"Santa Monica, CA+2 locations",,Leverage cloud SQL software and open source tools to wrangle huge amounts of data across dozens of sources into a unified data model.
94,Data Annotator,"JPMorgan Chase Bank, N.A.","Columbus, OH",,Working knowledge of information and data retrieval.Annotate and label data/content using annotation tools.1-2 years of experience in data annotation.
95,newResearcher,Nike,"Beaverton, OR",,"Experience using in-lab and field-based biomechanical data collection tools with human test participants.You will participate in the development of new tools,…"
96,Global Intelligence Analyst,Dolby,"San Francisco, CA",,"A passion for data analysis.Experience in working with extracting actionable information from search engines, data bases and general online research."
97,newData Governance Analyst,KBR,"Houston, TX",,Building relationships with data stakeholders and leaders to understand their data challenges whilst promoting the value of data governance.
98,newFootball Analyst I/II,University of Texas at San Antonio,"San Antonio, TX 78249+1 location",,To provide support to football coaching staff by identifying and analyzing data to assist the Football Program coaching staff and players.
99,newEntry Level Data Conversion Analyst,Reynolds and Reynolds,"Dayton, OH 45430",,"You will also complete migration of customer data from one Reynolds hardware platform to another.As the Data Conversion Analyst, you will be converting…"
100,PowerSchool Data Manager,Public Schools Of Robeson County,"Lumberton, NC 28358",,PowerSchool Data Manager (12 months) SALARY: (GRADE 56 - $2315.75Monthly Starting Salary…
101,newData Center Technician,Google,"Pryor, OK 74361+16 locations",,"Experience working within a data center or network operation center environment.Experience with light coding, scripting and data query, analysis and…"
102,newClient Data Specialist,Louis Vuitton,"New York, NY",,"Execution and interpretation of a wide range of client data across multiple data sources (IBM Cognos, Salesforce, Google Analytics, etc.)."
103,newFull-Time AP Data Entry Production Specialist,New England Document Systems (NEdocs),"Manchester, NH",$12 an hour,Leading document management company has a current opening for a full-time data entry person with solid computer and analytical skills.
104,"newProgram Manager, Data",Google,"Sunnyvale, CA (Lakewood area)+34 locations",,"Experience with building data infrastructure (e.g., designing architecture, building data pipelines, implementing scalable monitoring) and implementing…"
105,newData Scientist I,Bank of America,"Charlotte, NC 28202 (Fourth Ward area)+6 locations",,Ensures data integrity for analysis and modeling.Performs tasks of data wrangling and feature engineering.Individual contributor role practicing and enabling…
106,newData Visualization Specialist,McKinsey & Company,"Waltham, MA 02451",,Familiarity with data engineering and/or core data science practices.You and a data visualization developer will also closely collaborate with clients and…
107,newFull-Time AP Data Entry Production Specialist,New England Document Systems (NEdocs),"Manchester, NH",$12 an hour,Leading document management company has a current opening for a full-time data entry person with solid computer and analytical skills.
108,Data Entry,thyssenkrupp OnlineMetals LLC,"Northwood, OH 43619+1 location",,"An extensive omnichannel architecture offers 250,000 customers worldwide cross-channel, round-the-clock access to more than 150,000 products and services."
109,newOffsite Invoice Payment Specialist [Data Entry/Remote],"Cass Information Systems, Inc.","Remote in Columbus, OH",,Specialized training in data entry or prior experience.Has a complete understanding of specialized data entry account.Handling exception items per procedures.
110,newData Governance Analyst,KBR,"Houston, TX",,Building relationships with data stakeholders and leaders to understand their data challenges whilst promoting the value of data governance.
111,Background Investigation Specialist,Deloitte,"Parsippany, NJ 07054+24 locations",,"Experience drafting research reports, and aggregating complex data into a cohesive and concise summary.Review PII (Personally Identifiable Information) data…"
112,newData Science Co-op,Carrier,"Framingham, MA 01701+2 locations",,Experience with big data visualization.Be interested in learning and applying new big data toolsets and frameworks.Experience with large datasets (>1 GB).
113,newData Abstraction- VQI,Ascension,"Remote in Fort Worth, TX",,"Conduct data retrieval, aggregation, analysis and reports.Collect, store, retrieve and communicate quality-related data/information."
114,newData Scientist - New College Grad,Wealthfront,"Remote in Palo Alto, CA",,"The Wealthfront data science team creates data products to deliver personalized financial product experiences, develops best in class investment algorithms, and…"
115,newCustomer Support - Tickets - Lifestyle Brand,ModSquad,+2 locationsRemote,,"Mods assist and guide customers to the right answers, solve concerns and are the GPS for customers to understand and optimize the best use of a client's product…"
116,newAccountant,NewYork-Presbyterian Hospital,"Manhattan, NY 10065 (Upper East Side area)",,"Step into this crucial role, responsible for performing accounting functions that help maximize the efficiency and effectiveness of our hospital."
117,newMachine Learning Data Associate,Amazon.com Services LLC,+126 locationsRemote,,You successfully own labeling or data annotation workflows.You should feel comfortable labeling and understanding data using knowledge of customer service…
118,Data Scientist/Machine Learning/AI,General Dynamics Information Technology,Remote+13 locations,"$112,000 - $168,000 a year",Develops data-driven solutions to complex business challenges.NLP (Natural Language Processing) data science experience.US Citizen or Green Card required.
119,newSummer Student - Investment Data & Analytics,Voya Financial,Remote,$20 - $23 an hour,Perform daily and monthly quality control functions to ensure integrity of data prior to data release to end users.Interest in pursuing CFA Charter.
120,Data Enrichment Agent - (100 % Remote / Work From Home),Bold Business,"Remote in Dallas, TX+10 locations",,"Primary work will be application data entry, vendor resource verifications, board certifications, and following up with various state boards for statuses."
121,newHistology - Data Entry,"Clinical Pathology Laboratories, Inc.","Austin, TX+7 locations",,"1 - 2 years of related experience in clinical laboratory, data entry, or production.You are a superhero when it comes to patient specimens."
122,newData Scientist - New College Grad,Wealthfront,"Remote in Palo Alto, CA",,"The Wealthfront data science team creates data products to deliver personalized financial product experiences, develops best in class investment algorithms, and…"
123,newAccountant,NewYork-Presbyterian Hospital,"Manhattan, NY 10065 (Upper East Side area)",,"Step into this crucial role, responsible for performing accounting functions that help maximize the efficiency and effectiveness of our hospital."
124,IT/ Data Analyst,Honeywell,"Kansas City, MO 64147 (Richards Gebaur area)+2 locations",,"Analysis, classification and maintenance of data and data relationships.This state-of-the-art engineering, manufacturing and sourcing facility produces a wide…"
125,Data Entry,Reliable Associates,"Tampa, FL 33634",,"Full-time position open for detail-minded, conscientious data-entry person.Input purchase order numbers, set up files for orders, some accounting ability, like…"
126,newData Abstraction- VQI,Ascension,"Remote in Fort Worth, TX",,"Conduct data retrieval, aggregation, analysis and reports.Collect, store, retrieve and communicate quality-related data/information."
127,Data Entry,thyssenkrupp OnlineMetals LLC,"Northwood, OH 43619+1 location",,"An extensive omnichannel architecture offers 250,000 customers worldwide cross-channel, round-the-clock access to more than 150,000 products and services."
128,newClerical - School Data Clerk,Fulton County Schools,"Fulton County, GA",,JobID: 3930 Position Type: Clerical/School Data Clerk Date Posted: 3/7/2016 Location: Liberty Point…
129,Data Scientist - Intermediate,Bayer,"San Francisco, CA 94103 (Financial District/South Beach area)+17 locations",,Query geospatial data from multiple sources.Build geospatial data pipelines for downstream model development.Excellent communication and collaboration skills.
130,newData Scientist,NextEra Energy,"Palm Beach Gardens, FL 33410+5 locations",,"Works with a variety of datasets, including timeseries data and “big data” requiring analysis on distributed computing platforms."
131,"Assistant, VFX",Netflix,"Los Angeles, CA",,Strong organizational and data management skills.Research and gather technical data from previous titles.This position is fast moving and requires someone who…
132,newAssociate Biochemistry Scientist- (Entry Level) Data Review,Eurofins USA BioPharma Services,"Lancaster, PA",,"Ensure that the client receives quality data by reviewing laboratory data for accuracy, clarity, and adherence to GMP and/or GLP regulations."
133,newData Engineer,Accenture,"Walnut Creek, CA+126 locations",$39.60 - $72.74 an hour,Design and implement scalable data repositories to integrate qualitative and quantitative research data.Create foundational data capabilities by leveraging…
134,"Data Analyst, University Graduate - 2022 Start",TikTok,"Mountain View, CA 94041 (Old Mountain View area)+12 locations",,"Use data to identify trends, conduct root cause analysis and suggest potential opportunities for gaps and improvements.Proficiency in SQL, R, Python."
135,Data Analyst Junior (Neuropsychiatry),University of Pennsylvania,"Philadelphia, PA 19104 (University City area)+14 locations",,"Other duties might include: performing data management functions like extracting, importing, and exporting data from various in-house applications;…"
136,newAWS Cloud Computing Specialist + Apprentice,New Apprenticeship,"Remote in Raleigh, NC+3 locations","$35,000 - $50,000 a year",Develop simple data queries for existing or proposed databases or data repositories.Ability to analyze data and communicate ideas clearly.
137,newClinical Data Analyst,Medidata Solutions,Remote,,"A passion for understanding complex issues with a data driven approach.Can drive forward even amidst ambiguity (people, process, data) and complexity."
138,Data Wrangler,John Deere,"Remote in Johnston, IA+2 locations",,"Organize and clean the data, explore new ways of organizing data, and focus on developing sustainable data usage.What Makes You Stand Out."
139,"Data Analyst, University Graduate - 2022 Start",TikTok,"Mountain View, CA 94041 (Old Mountain View area)+12 locations",,"Use data to identify trends, conduct root cause analysis and suggest potential opportunities for gaps and improvements.Proficiency in SQL, R, Python."
140,newData Verifier,Ocrolus,"New York, NY+1 location",,Ocrolus transforms documents into digital data and analytics within minutes.Reviews documents and draws bounding boxes around key data points.
141,newTEMPORARY DATA ENTRY CLERK,Office of the Attorney General,"Boston, MA 02108 (Beacon Hill area)",$18 an hour,Experience with data entry and/or using case management databases is a plus.NON-PROFIT ORGANIZATIONS/PUBLIC CHARITIES DIVISION.
142,Data Scientist,Apollo Neuroscience,Remote,,"Independently execute health data and participant outcomes analysis.2+ years extracting, merging, and manipulating data from large complex databases."
143,Project-Sports Data Scientist,ESPN,"Bristol, CT",,Use strategic analytical approaches and techniques using data to answer sports questions.Strong knowledge in using SQL to query and modify data from databases.
144,Data Scientist,Vanguard,"Malvern, PA+4 locations",,"Experience with data wrangling required - Programming skills to access, transform and prepare large scale data for statistical modeling."
145,(Contract) Part Time Data Entry Clerk,TechnipFMC,"Davis, CA 95618 (Downtown Core area)+1 location",,"Process backup reports after data entry.The duties include data entry of AP invoices, matching AP invoices with PO documents and other duties in support of the…"
146,Data Engineer,Central Intelligence Agency,"Washington, DC 20505 (Foggy Bottom area)","$66,077 - $164,102 a year","Work experience related to data engineering, information, and data management.Data Engineers work with data consumers to create and populate optimal data…"
147,"newAssociate, Data Science",BlackRock,"Palo Alto, CA 94301 (University South area)+1 location",,"Hands-on experience with data science and machine learning techniques.We work with data from a wide variety of sources including text, news feeds, financial…"
148,newData Entry Clerk,Seaboard Solutions,"Houston, TX 77015",$14 an hour,One (1) year of data entry clerk experience.Assist data entry clerks of companies additional warehouse operations as needed.401(K) Retirement Saving Plan.
149,Data Analyst II,California Public Employees' Retirement System...,"Sacramento, CA 95811 (Downtown area)","$3,800 - $7,079 a month",CalPERS seeks a Research Data Analyst for the administration and reporting (A&R) duties of the California Employers’ Retiree Benefit Trust (CERBT) and the…
150,Data Science New Graduate,Hewlett Packard Enterprise,"Durham, NC 27703",,You have basic knowledge of data science methodologies.You will load data into the infrastructure and contribute to the creation of the hypothesis matrix and…
151,"Associate, Business Operations and Strategy",Google,"Hybrid remote in Mountain View, CA+4 locations","$112,000 a year","As an Associate in Business Operations and Strategy, you will own the problem definition, analysis, work planning, and execution of your work streams, and…"
152,Associate Data Scientist - JPMWM Content Optimization,"JPMorgan Chase Bank, N.A.","Jersey City, NJ+48 locations",,Building analytical models that help us better understand customers to anticipate their needs and serve them with the right service at the right time through…
153,MACHINE LEARNING DATA SCIENTIST - PYTHON AND R,InspiHER Tech,Remote,"$110,000 - $150,000 a year","Developing full stack data science solutions, from building raw data sets to automation and deployment.Work extensively with RDBMS and NoSQL graphs to wrangle…"
154,newData Processor,Hillsborough County Public Schools,"Tampa, FL 33602 (Downtown area)",,Step and Grade Schedule: NI-ESP.
155,newClerical - School Data Clerk,Fulton County Schools,"Fulton County, GA",,JobID: 3930 Position Type: Clerical/School Data Clerk Date Posted: 3/7/2016 Location: Liberty Point…
156,Data Entry Capture Specialists,Tamion Corp.,"Alpharetta, GA",,Typical project is data entry of customer inventory at our facilities or customer sites.Requirements: 6-12 months prior data input experience and be able to…
157,Data Entry Clerk,Ormat Technologies,"Reno, NV 89519 (East Reno area)",,"Assist with material data cleansing.Pull reports and help verify data within ERP system.This individual will also perform data collection, program audits, and…"
158,newData Engineer 4,Oracle,United States+8 locations,,"Analyze, design develop, troubleshoot and debug software programs for commercial or end user applications.As a member of the software engineering division, you…"
159,Data Scientist,"Sony Pictures Entertainment, Inc.","Culver City, CA+1 location",,"Experience analyzing user level data (PII and anonymized), DMP data, social data and viewing / transactional or streaming data."
160,Data Scientist - Intermediate,Bayer,"San Francisco, CA 94103 (Financial District/South Beach area)+17 locations",,Query geospatial data from multiple sources.Build geospatial data pipelines for downstream model development.Excellent communication and collaboration skills.
